Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
2/28/2024,Wednesday,February,Q1,2024,EQ,4095.60,4154.90,4089.00,4104.40,4109.90,4118.95,4126.35,4184.75,3070.25,1939225,139242
2/27/2024,Tuesday,February,Q1,2024,EQ,3999.00,4124.00,3999.00,4001.05,4100.50,4104.40,4083.47,4184.75,3070.25,2960475,235296
2/26/2024,Monday,February,Q1,2024,EQ,4036.00,4050.00,3982.75,4052.10,4001.90,4001.05,4001.89,4184.75,3070.25,1379284,168908
2/23/2024,Friday,February,Q1,2024,EQ,4130.00,4130.00,4046.40,4087.10,4046.40,4052.10,4086.76,4184.75,3070.25,2538072,207942
2/22/2024,Thursday,February,Q1,2024,EQ,3971.00,4094.95,3971.00,3991.50,4082.55,4087.10,4036.74,4184.75,3070.25,2982052,233453
2/21/2024,Wednesday,February,Q1,2024,EQ,4013.00,4063.35,3980.60,4030.65,3987.00,3991.50,4025.98,4184.75,3070.25,1885939,135075
2/20/2024,Tuesday,February,Q1,2024,EQ,4082.10,4098.00,4010.00,4103.80,4035.00,4030.65,4047.78,4184.75,3070.25,1193648,108310
2/19/2024,Monday,February,Q1,2024,EQ,4123.05,4128.30,4055.00,4128.30,4099.85,4103.80,4092.76,4184.75,3070.25,772291,70873
2/16/2024,Friday,February,Q1,2024,EQ,4113.25,4147.95,4100.10,4103.20,4122.30,4128.30,4124.07,4184.75,3070.25,1307556,125414
2/15/2024,Thursday,February,Q1,2024,EQ,4128.00,4146.30,4083.00,4100.10,4106.00,4103.20,4107.34,4184.75,3070.25,1091582,117286
2/14/2024,Wednesday,February,Q1,2024,EQ,4107.00,4114.90,4049.50,4149.50,4106.00,4100.10,4092.10,4184.75,3070.25,1391283,126863
2/13/2024,Tuesday,February,Q1,2024,EQ,4125.45,4170.00,4081.50,4120.70,4145.00,4149.50,4130.03,4184.75,3070.25,1257415,140800
2/12/2024,Monday,February,Q1,2024,EQ,4130.00,4159.60,4105.55,4133.70,4119.00,4120.70,4128.10,4184.75,3070.25,1013716,110339
2/9/2024,Friday,February,Q1,2024,EQ,4136.55,4184.75,4100.00,4134.10,4132.00,4133.70,4135.50,4184.75,3070.25,2100596,204415
2/8/2024,Thursday,February,Q1,2024,EQ,4090.00,4158.00,4086.05,4083.40,4137.85,4134.10,4122.74,4158.00,3070.25,2345173,212471
2/7/2024,Wednesday,February,Q1,2024,EQ,4153.00,4155.00,4073.95,4136.00,4085.00,4083.40,4115.33,4155.00,3070.25,2124267,177689
2/6/2024,Tuesday,February,Q1,2024,EQ,3997.00,4149.90,3990.00,3973.30,4129.35,4136.00,4106.33,4149.90,3070.25,4474396,325723
2/5/2024,Monday,February,Q1,2024,EQ,3983.00,4022.00,3962.10,3966.30,3966.95,3973.30,3996.07,4022.00,3070.25,1691523,156341
2/2/2024,Friday,February,Q1,2024,EQ,3875.05,3984.40,3872.00,3854.15,3959.20,3966.30,3944.48,3984.40,3070.25,2826510,271200
2/1/2024,Thursday,February,Q1,2024,EQ,3820.00,3904.90,3805.05,3815.95,3842.65,3854.15,3863.88,3965.00,3070.25,2363107,200156
